@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric

@data
567,'2019/10/24 11:54:42:098',2,87,173,0,0
568,'2019/10/24 11:54:42:132',2,104,203,0,0
569,'2019/10/24 11:54:42:165',2,131,222,0,0
570,'2019/10/24 11:54:42:199',2,171,227,0,0
571,'2019/10/24 11:54:42:233',2,186,215,0,0
572,'2019/10/24 11:54:42:267',2,192,184,0,0
573,'2019/10/24 11:54:42:301',2,194,172,0,0
574,'2019/10/24 11:54:42:335',2,201,145,0,0
575,'2019/10/24 11:54:42:368',2,206,134,0,0
576,'2019/10/24 11:54:42:402',2,207,121,0,0
577,'2019/10/24 11:54:42:435',2,206,109,0,0
578,'2019/10/24 11:54:42:469',2,199,103,0,0
579,'2019/10/24 11:54:42:502',2,170,95,0,0
580,'2019/10/24 11:54:42:536',2,137,86,0,0
581,'2019/10/24 11:54:42:570',2,118,87,0,0
582,'2019/10/24 11:54:42:605',2,103,104,0,0
583,'2019/10/24 11:54:42:639',2,98,132,0,0
584,'2019/10/24 11:54:42:671',2,98,180,0,0
585,'2019/10/24 11:54:42:706',2,111,209,0,0
586,'2019/10/24 11:54:42:741',2,140,230,0,0
587,'2019/10/24 11:54:42:778',2,207,240,0,0
588,'2019/10/24 11:54:42:808',2,233,235,0,0
589,'2019/10/24 11:54:42:843',2,233,211,0,0
590,'2019/10/24 11:54:42:876',2,220,191,0,0
591,'2019/10/24 11:54:42:910',2,191,184,0,0
592,'2019/10/24 11:54:42:943',2,158,182,0,0
593,'2019/10/24 11:54:42:976',2,128,186,0,0
594,'2019/10/24 11:54:43:009',2,91,194,0,0
595,'2019/10/24 11:54:43:042',2,65,195,0,0
596,'2019/10/24 11:54:43:076',2,41,188,0,0
597,'2019/10/24 11:54:43:112',2,7,179,0,0
598,'2019/10/24 11:54:43:145',2,7,179,0,0
599,'2019/10/24 11:54:43:179',2,7,179,0,0
600,'2019/10/24 11:54:43:213',2,7,179,0,0
601,'2019/10/24 11:54:43:247',2,7,179,0,0
602,'2019/10/24 11:54:43:281',2,7,179,0,0
603,'2019/10/24 11:54:43:315',2,7,179,0,0
604,'2019/10/24 11:54:43:349',2,7,179,0,0
605,'2019/10/24 11:54:43:383',2,7,179,0,0
606,'2019/10/24 11:54:43:417',2,7,179,0,0
607,'2019/10/24 11:54:43:451',2,7,179,0,0
608,'2019/10/24 11:54:43:485',2,7,179,0,0
609,'2019/10/24 11:54:43:519',2,7,179,0,0
610,'2019/10/24 11:54:43:553',2,7,179,0,0
611,'2019/10/24 11:54:43:586',2,7,179,0,0
612,'2019/10/24 11:54:43:620',2,7,179,0,0
613,'2019/10/24 11:54:43:655',2,7,179,0,0
614,'2019/10/24 11:54:43:688',2,7,179,0,0
615,'2019/10/24 11:54:43:727',2,7,179,0,0
616,'2019/10/24 11:54:43:757',2,7,179,0,0
617,'2019/10/24 11:54:43:795',2,7,179,0,0
618,'2019/10/24 11:54:43:823',2,7,179,0,0
619,'2019/10/24 11:54:43:860',2,7,179,0,0
620,'2019/10/24 11:54:43:889',2,7,179,0,0
621,'2019/10/24 11:54:43:927',2,7,179,0,0
622,'2019/10/24 11:54:43:958',2,7,179,0,0
623,'2019/10/24 11:54:43:994',2,7,179,0,0
624,'2019/10/24 11:54:44:025',2,7,179,0,0
625,'2019/10/24 11:54:44:061',2,7,179,0,0
626,'2019/10/24 11:54:44:091',2,7,179,0,0
627,'2019/10/24 11:54:44:127',2,7,179,0,0
628,'2019/10/24 11:54:44:159',2,7,179,0,0
629,'2019/10/24 11:54:44:195',2,7,179,0,0
630,'2019/10/24 11:54:44:228',2,7,179,0,0
631,'2019/10/24 11:54:44:261',2,7,179,0,0
632,'2019/10/24 11:54:44:294',2,7,179,0,0
633,'2019/10/24 11:54:44:329',2,7,179,0,0
634,'2019/10/24 11:54:44:360',2,7,179,0,0
635,'2019/10/24 11:54:44:395',2,7,179,0,0
636,'2019/10/24 11:54:44:427',2,7,179,0,0
637,'2019/10/24 11:54:44:461',2,7,179,0,0
638,'2019/10/24 11:54:44:497',2,7,179,0,0
639,'2019/10/24 11:54:51:979',3,28,37,1,0
640,'2019/10/24 11:54:52:013',3,28,37,1,0
641,'2019/10/24 11:54:52:047',3,28,37,1,0
642,'2019/10/24 11:54:52:081',3,28,37,1,0
643,'2019/10/24 11:54:52:114',3,28,37,1,0
644,'2019/10/24 11:54:52:147',3,28,37,1,0
645,'2019/10/24 11:54:52:179',3,28,37,1,0
646,'2019/10/24 11:54:52:212',3,28,37,1,0
647,'2019/10/24 11:54:52:246',3,28,37,1,0
648,'2019/10/24 11:54:52:280',3,28,37,1,0
649,'2019/10/24 11:54:52:314',3,28,37,1,0
650,'2019/10/24 11:54:52:348',3,28,37,1,0
651,'2019/10/24 11:54:52:382',3,28,37,1,0
652,'2019/10/24 11:54:52:416',3,28,37,1,0
653,'2019/10/24 11:54:52:449',3,28,37,1,0
654,'2019/10/24 11:54:52:488',3,28,37,1,0
655,'2019/10/24 11:54:52:518',3,154,220,1,0
656,'2019/10/24 11:54:52:553',3,311,249,1,0
657,'2019/10/24 11:54:52:586',3,371,258,1,0
658,'2019/10/24 11:54:52:620',3,383,262,1,0
659,'2019/10/24 11:54:52:654',3,383,262,1,0
660,'2019/10/24 11:54:52:687',3,383,262,1,0
661,'2019/10/24 11:54:52:721',3,385,262,1,0
662,'2019/10/24 11:54:52:753',3,415,257,1,0
663,'2019/10/24 11:54:52:787',3,470,225,1,0
664,'2019/10/24 11:54:52:821',3,503,191,1,0
665,'2019/10/24 11:54:52:853',3,510,159,1,0
666,'2019/10/24 11:54:52:886',3,481,119,1,0
667,'2019/10/24 11:54:52:920',3,460,110,1,0
668,'2019/10/24 11:54:52:954',3,421,105,1,0
669,'2019/10/24 11:54:52:988',3,403,112,1,0
670,'2019/10/24 11:54:53:021',3,399,139,1,0
671,'2019/10/24 11:54:53:054',3,419,160,1,0
672,'2019/10/24 11:54:53:088',3,449,169,1,0
673,'2019/10/24 11:54:53:120',3,505,164,1,0
674,'2019/10/24 11:54:53:153',3,523,138,1,0
675,'2019/10/24 11:54:53:187',3,519,108,1,0
676,'2019/10/24 11:54:53:221',3,492,84,1,0
677,'2019/10/24 11:54:53:254',3,432,66,1,0
678,'2019/10/24 11:54:53:288',3,406,79,1,0
